SQFT,LIST PRICE
2459,1475000
4200,1649000
1137,605999
1882,938000
1190,1190000
3344,3295000
2771,2395000
3868,2395000
5666,4445000
971,462500
1009,1199000
1561,1490000
2469,1450000
1017,479999
1620,740000
1031,549000
3379,3688000
4189,3500000
3002,2195000
3761,2095000
1662,1175000
3245,2280000
2193,918000
2780,2225000
832,425000
1188,439000
2175,1575000
3600,3299999
2712,6795000
989,489900
691,335000
3264,3495000
2280,2565000
1993,1699000
4300,3975000
3492,1890000
4965,7450000
705,620990
2002,2695000
2922,1995000
1086,409000
1646,950000
4824,4800000
2420,1789000
904,599000
1192,575000
3538,4500000
4500,1890000
2496,3495000
2653,1749000
6781,6999000
2155,4999000
3214,1625000
3498,1850000
4166,3795000
504,291000
506,319000
832,444900
2308,1449000
1792,2395000
1233,882000
3860,4800000
2611,1999900
2191,2399000
1698,675000
2631,1725000
3102,2000000
3285,3195000
1000,729000
6257,11500000
978,472000
8692,16900000
1150,1699000
2900,3150000
2050,2985000
2916,2777700
4196,2995000
2845,2595000
2565,1695000
3099,1949000
1252,1194000
5761,3800000
836,1098000
2611,1649900
2393,2338000
1416,650000
1074,570000
4945,4200000
3853,2695000
3534,3475000
1508,1248000
2222,1200000
2975,1995000
713,379000
1140,456000
2448,1875000
2585,2095000
1205,519000
1140,449900
3332,1695000
2783,1150000
1709,2495000
1755,1595000
2973,2500000
3281,3880000
978,450000
5993,4497000
2794,1485000
2011,1928000
392,449000
3598,1749900
694,612000
2983,2895000
4245,3790000
631,355000
506,305000
7444,7800000
1458,654000
2160,999000
1317,599900
3857,2980000
4099,3850000
1769,934900
4119,5250000
2902,4149900
2609,2550000
1458,550000
1799,2100000
4200,2249000
4225,7950000
6300,6500000
3803,2758000
2018,2395000
2554,1595000
6120,4197000
713,396888
795,499000
4411,3750000
1231,539000
3273,3975000
2314,1599000
3623,3250000
3936,3795000
1829,1799000
1439,2250000
2300,2195000
7249,16995000
3331,2700000
2810,2449000
1250,795000
2444,4650000
1204,849000
5788,4688000
2270,2195000
1152,1295000
504,294000
4142,4495000
2685,1395000
3964,2745000
8331,9995000
2778,3795000
2088,2150000
2415,1795000
775,1999000
2598,1499000
2664,1850000
4940,4980000
2175,800000
2428,1125000
2500,1449000
2063,1195000
2521,2050000
704,329000
2696,1980000
7039,5495000
3660,3495000
1816,1149000
7600,10999999
2339,1095000
5134,3995000
5632,3295000
1288,735000
1494,799000
4211,3850000
1719,2295000
4609,6995000
1723,2095000
3722,2880000
1465,579000
3125,2695000
3605,3950000
1913,1900000
1206,850000
2230,2145000
2518,1249000
2350,1350000
3235,2495000
4958,3999995
3171,2950000
3333,2995000
2430,2850000
3050,1625000
1103,985000
1968,1795000
5747,4995000
1633,1579000
713,410000
1052,799990
2272,859000
2800,2195000
4813,4575000
2249,1795000
1858,1075000
3360,1850000
1993,1495000
2949,1497000
2621,1185000
2418,2450000
2056,825000
2174,1174876
5000,4480000
2786,1199000
4854,10000000
7210,5495000
1414,1995000
1783,1095000
1202,1550000
2599,2650000
2897,2195000
3400,7900000
3000,1895000
3500,4899000
1215,774900
3400,3345000
7400,4995000
5000,6700000
2059,5295000
1800,949500
1566,829000
2502,1120000
2610,4995000
6840,5480000
1976,1525000
2412,2295000
516,1249000
3247,1995000
1500,1249000
877,684990
4456,3090000
2485,3500000
878,449995
2530,2365000
1971,1950000
4528,2795000
2601,1100000
5089,5300000
3260,3986000
2104,1795000
1886,670000
9200,14600000
1927,1350000
2738,5950000
5809,5495000
5011,9300000
7032,8599000
2277,2395000
2900,3900000
4879,3650000
6303,6495000
4757,3700000
902,472500
1963,3295000
8500,15950000
1344,799000
8328,26588000
1308,1096000
3606,4194900
3190,1795000
1817,1380000
2361,980000
3074,1695000
5221,6295000
3600,4150000
3787,3975000
5000,3695000
2359,4250876
6161,11000000
4276,4575000
2364,1435000
5772,2695000
1406,830000
2765,2595000
3187,2995000
5408,9900876
1323,1099000
4046,3500000
4411,2100000
7020,7000000
3366,4750000
1612,4299000
3287,2895000
1250,1150000
4027,3995000
1987,750000
2359,2330000
3138,2395000
7383,4899000
5327,3499000
3817,1765000
2682,2395000
1673,1198000
3500,2595000
6847,4998000
6110,5380000
3670,4395000
1215,969000
713,399000
4150,2195000
3200,2850000
6820,5500000
7165,9778000
5272,3395000
3500,4600000
5516,7800000
1188,1275000
5775,6000000
1215,1179000
2019,1698000
14252,22900000
4682,4350000
1514,1299000
5134,6495000
5696,5295000
7100,7900000
6900,4650000
8300,5900000
6163,14950000
4985,6550000
9729,18000000
