SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,5842 Soledad Mtn,La Jolla,CA,92037,1475000,4,3,La Jolla,2459,10200,1967,4,Garage,17,Active,,,,,1475000,2/28/2014,1140000,http://www.redfin.com/CA/San-Diego/5842-Soledad-Mountain-Rd-92037/home/4940634,San Diego County's Regional Multiple Listing Service (SANDICOR),160043432,Redfin Corporation,N,Y,32.825733,-117.239523,FALSE
MLS Listing,Single Family Residential,1755 Archer,San Diego,CA,92109,1649000,5,4,Pacific Beach,4200,11200,1985,4,Garage,17,Active,,,,,1649000,9/6/2002,955000,http://www.redfin.com/CA/San-Diego/1755-Archer-St-92109/home/5135895,San Diego County's Regional Multiple Listing Service (SANDICOR),160043342,Redfin Corporation,N,Y,32.814304,-117.241746,FALSE
MLS Listing,Condo/Coop,3404 Via Alicante,La Jolla,CA,92037,605999,2,2,La Jolla,1137,290015,1975,2,Garage,1,Active,,,,,605999,,,http://www.redfin.com/CA/San-Diego/3404-Via-Alicante-92037/home/4865693,San Diego County's Regional Multiple Listing Service (SANDICOR),160046648,Keller Williams Carmel Valley,N,Y,32.8612313,-117.2319479,FALSE
MLS Listing,Condo/Coop,7976 Caminito Del Cid,La Jolla,CA,92037,938000,3,3,La Jolla,1882,,1976,2,Garage,1,Active,,,,,938000,11/3/2008,850000,http://www.redfin.com/CA/San-Diego/7976-Caminito-Del-Cid-92037/home/4879102,San Diego County's Regional Multiple Listing Service (SANDICOR),160046626,Berkshire Hathaway HomeService,N,Y,32.851188,-117.251384,FALSE
MLS Listing,Single Family Residential,5397 La Jolla Mesa Dr,La Jolla,CA,92037,1190000,2,1,La Jolla,1190,,1952,2,Garage,1,Active,,,,,1190000,6/5/1998,305000,http://www.redfin.com/CA/San-Diego/5397-La-Jolla-Mesa-Dr-92037/home/4938394,San Diego County's Regional Multiple Listing Service (SANDICOR),160046612,Coldwell Banker Res. Brokerage,N,Y,32.812836,-117.259929,FALSE
MLS Listing,Single Family Residential,1935 Bahia Way,La Jolla,CA,92037,3295000,4,4,La Jolla,3344,10300,2008,2,Garage,1,Active,,,,,3295000,4/18/2006,1350000,http://www.redfin.com/CA/San-Diego/1935-Bahia-Way-92037/home/4940903,San Diego County's Regional Multiple Listing Service (SANDICOR),160046596,Coldwell Banker Res. Brokerage,N,Y,32.818744,-117.240339,FALSE
MLS Listing,Single Family Residential,9543 Poole St,La Jolla,CA,92037,2395000,4,5,La Jolla,2771,,2016,4,Garage,1,Active,,,,,2395000,5/15/2015,1150000,http://www.redfin.com/CA/San-Diego/9543-Poole-St-92037/home/4864587,San Diego County's Regional Multiple Listing Service (SANDICOR),160046577,Pacific Sotheby's Int'l Realty,N,Y,32.8733669,-117.2442885,FALSE
MLS Listing,Single Family Residential,835 La Jolla Corona Ct,La Jolla,CA,92037,2395000,4,4,La Jolla,3868,7771,1985,4,Garage,1,Active,,,,,2395000,8/23/2004,1900000,http://www.redfin.com/CA/San-Diego/835-La-Jolla-Corona-Ct-92037/home/4938826,San Diego County's Regional Multiple Listing Service (SANDICOR),160045093,Berkshire Hathaway HomeService,N,Y,32.81751,-117.264889,FALSE
MLS Listing,Single Family Residential,835 La Jolla Rancho,La Jolla,CA,92037,4445000,4,7,La Jolla,5666,16562,2015,7,Garage,1,Active,,,,,4445000,8/8/2007,1900000,http://www.redfin.com/CA/San-Diego/835-La-Jolla-Rancho-Rd-92037/home/22815389/sandicor-160046553,San Diego County's Regional Multiple Listing Service (SANDICOR),160046553,Berkshire Hathaway HomeService,N,Y,32.8193961,-117.2666983,FALSE
MLS Listing,Condo/Coop,8636 Via Mallorca Unit F,La Jolla,CA,92037,462500,2,2,La Jolla,971,,1971,1,,1,Active,,,,,462500,,,http://www.redfin.com/CA/San-Diego/8636-Via-Mallorca-92037/unit-F/home/108593856/sandicor-160046501,San Diego County's Regional Multiple Listing Service (SANDICOR),160046501,Marc R. Perlman,N,Y,32.863357,-117.233833,FALSE
MLS Listing,Single Family Residential,812 Forward St,La Jolla,CA,92037,1199000,2,1,La Jolla,1009,4205,1953,3,Garage,1,Active,,,,,1199000,,,http://www.redfin.com/CA/San-Diego/812-Forward-St-92037/home/4936299,San Diego County's Regional Multiple Listing Service (SANDICOR),160046467,Berkshire Hathaway HomeService,N,Y,32.8151135,-117.2644547,FALSE
MLS Listing,Single Family Residential,767 Bonair Way,La Jolla,CA,92037,1490000,3,3,La Jolla,1561,,1941,6,Garage,2,Active,8/27/2016,13:00,16:00,,1490000,5/12/1993,250000,http://www.redfin.com/CA/San-Diego/767-Bonair-Way-92037/home/4916213,San Diego County's Regional Multiple Listing Service (SANDICOR),160046382,Coldwell Banker Res. Brokerage,N,Y,32.8321736,-117.2726078,FALSE
MLS Listing,Townhouse,1345 Caminito Arriata,La Jolla,CA,92037,1450000,3,3,La Jolla,2469,7841,2003,2,Garage,3,Active,,,,,1450000,6/6/2005,1725000,http://www.redfin.com/CA/San-Diego/1345-Caminito-Arriata-92037/home/4945775,San Diego County's Regional Multiple Listing Service (SANDICOR),160046302,Pacific Sotheby's Int'l Realty,N,Y,32.814161,-117.251033,FALSE
MLS Listing,Condo/Coop,3137 Via Alicante #209,La Jolla,CA,92037,479999,2,2,La Jolla,1017,292033,2000,2,Garage,3,Active,,,,,479999,5/2/2005,460000,http://www.redfin.com/CA/San-Diego/3137-Via-Alicante-92037/unit-209/home/6680940,San Diego County's Regional Multiple Listing Service (SANDICOR),160046237,Keller Williams Carmel Valley,N,Y,32.8611836,-117.2348214,FALSE
MLS Listing,Condo/Coop,6567 Caminito Catalan,La Jolla,CA,92037,740000,2,3,La Jolla,1620,,1979,1,Garage,3,Active,,,,,740000,11/1/2006,630000,http://www.redfin.com/CA/San-Diego/6567-Caminito-Catalan-92037/home/4924794,San Diego County's Regional Multiple Listing Service (SANDICOR),160046158,Berkshire Hathaway HomeService,N,Y,32.8363159,-117.246168,FALSE
MLS Listing,Condo/Coop,3203 Caminito Eastbluff #6,La Jolla,CA,92037,549000,2,2,La Jolla,1031,,1978,2,Garage,3,Active,,,,,549000,5/28/2010,390000,http://www.redfin.com/CA/San-Diego/3203-Caminito-Eastbluff-92037/unit-6/home/4882542,San Diego County's Regional Multiple Listing Service (SANDICOR),160046132,Coldwell Banker Res. Brokerage,N,Y,32.8585029,-117.234543,FALSE
MLS Listing,Single Family Residential,7799 Starlight Dr,La Jolla,CA,92037,3688000,3,3,La Jolla,3379,39640,1978,4,,3,Active,,,,,3688000,8/16/2007,2650000,http://www.redfin.com/CA/San-Diego/7799-Starlight-Dr-92037/home/4879723,San Diego County's Regional Multiple Listing Service (SANDICOR),160046069,Berkshire Hathaway HomeService,N,Y,32.852294,-117.242941,FALSE
MLS Listing,Single Family Residential,772 La Canada St,La Jolla,CA,92037,3500000,6,6,La Jolla,4189,6495,1990,6,Garage,3,Active,,,,,3500000,3/9/1994,752500,http://www.redfin.com/CA/San-Diego/772-La-Canada-92037/home/4933502,San Diego County's Regional Multiple Listing Service (SANDICOR),160046043,Rodeo Realty,N,Y,32.821797,-117.2678301,FALSE
MLS Listing,Single Family Residential,5615 Soledad Rd,La Jolla,CA,92037,2195000,5,4,La Jolla,3002,10800,1960,5,Garage,3,Active,,,,,2195000,4/15/2015,1325000,http://www.redfin.com/CA/San-Diego/5615-Soledad-Rd-92037/home/4939683,San Diego County's Regional Multiple Listing Service (SANDICOR),160046025,Willis Allen Real Estate,N,Y,32.8209919,-117.24042,FALSE
MLS Listing,Single Family Residential,1721 Calle Delicada,La Jolla,CA,92037,2095000,6,4,La Jolla,3761,12200,1974,6,Garage,4,Active,,,,,2095000,3/24/2006,2275000,http://www.redfin.com/CA/San-Diego/1721-Calle-Delicada-92037/home/4943727,San Diego County's Regional Multiple Listing Service (SANDICOR),160045938,Harcourts Prestige Properties,N,Y,32.8197606,-117.2444301,FALSE
MLS Listing,Condo/Coop,531 Fern Gln,La Jolla,CA,92037,1175000,2,3,La Jolla,1662,,1984,3,Garage,4,Active,,,,,1175000,,,http://www.redfin.com/CA/San-Diego/531-Fern-Gln-92037/home/4914992,San Diego County's Regional Multiple Listing Service (SANDICOR),160045873,"Big Block Realty, Inc.",N,Y,32.833813,-117.276534,FALSE
MLS Listing,Single Family Residential,5788 La Jolla Corona Dr,La Jolla,CA,92037,2280000,4,4,La Jolla,3245,6098,1988,2,Garage,5,Active,,,,,2280000,11/7/2011,1300000,http://www.redfin.com/CA/San-Diego/5788-La-Jolla-Corona-Dr-92037/home/4938811,San Diego County's Regional Multiple Listing Service (SANDICOR),160045683,Berkshire Hathaway HomeService,N,Y,32.818383,-117.265257,FALSE
